full, abb
Arizona Diamondsbacks, ARI
Atlanta Braves, ATL
Baltimore Orioles, BAL
Boston Red Sox, BOS
Chicago White Sox, CHA
Chicago Cubs, CHN
Cincinnati Reds, CIN
Cleveland Indians, CLE
Colorado Rockies, COL
Detroit Tigers, DET
Houston Astros, HOU
Kansas City Royals, KCA
Los Angeles Angels, ANA
Los Angeles Dodgers, LAN
Miami Marlins, FLO
Milwaukee Brewers, MIL
Minnesota Twins, MIN
New York Yankees, NYA
New York Mets, NYN
Oakland Athletics, OAK
Philadelphia Phillies, PHI
Pittsburgh Pirates, PIT
San Diego Padres, SDN
San Francisco Giants, SFN
Seattle Mariners, SEA
St. Louis Cardinals, SLN
Tampa Bay Rays, TBA
Texas Rangers, TEX
Toronto Blue Jays, TOR
Washington Nationals, WAS